3.1628,4.9454,2.845,4.4421,2.5529,2.455,2.1546,2.3713,2.3665
3.11,4.8819,2.8558,4.4018,2.5287,2.5115,2.1948,2.4416,2.3354
3.11,4.882,2.8158,4.34,2.4624,2.4776,2.1556,2.3068,2.3315
3.0796,4.7522,2.8122,4.3308,2.5195,2.4315,2.1997,2.2755,2.2821
3.0938,4.7215,2.852,4.3373,2.4796,2.5214,2.1463,2.3238,2.33
3.0855,4.7672,2.884,4.3227,2.549,2.4436,2.1778,2.4134,2.2805
3.1519,4.7359,2.9035,4.3813,2.5032,2.5242,2.1723,2.3369,2.3026
3.1759,4.7026,2.8879,4.34,2.5494,2.417,2.1531,2.3735,2.2643
3.1011,4.7557,2.8562,4.3912,2.5794,2.3773,2.1336,2.3317,2.3187
3.1278,4.7236,2.8501,4.3741,2.5712,2.3643,2.1359,2.3121,2.2865
3.1123,4.6604,2.8368,4.3231,2.5306,2.4525,2.1339,2.2758,2.3622
3.2244,4.6143,2.9023,4.4106,2.5451,2.4412,2.1403,2.4214,2.3216
3.1642,4.5905,2.8195,4.4546,2.5535,2.4733,2.1903,2.3556,2.3509
3.1616,4.6416,2.8277,4.4634,2.5626,2.5178,2.2573,2.3945,2.436
3.2065,4.6763,2.8042,4.4423,2.5727,2.4823,2.1676,2.4145,2.2631
3.2118,4.7111,2.799,4.4067,2.6279,2.514,2.2209,2.3489,2.2848
3.1562,4.7066,2.7447,4.2708,2.5403,2.3596,2.1717,2.306,2.2693
3.1624,4.7407,2.7661,4.2949,2.539,2.4713,2.1758,2.3534,2.342
3.1928,4.7501,2.7368,4.3198,2.576,2.4692,2.1574,2.3845,2.327
3.1795,4.7482,2.7334,4.305,2.5329,2.4023,2.156,2.3515,2.304
3.171,4.7598,2.7004,4.2334,2.4371,2.3601,2.1464,2.3252,2.2451
3.1755,4.7442,2.7317,4.2822,2.6018,2.4899,2.175,2.3513,2.3097
3.1223,4.8048,2.7406,4.2759,2.4975,2.4392,2.1105,2.3644,2.3003
3.1269,4.7478,2.7475,4.2866,2.5061,2.3574,2.1587,2.3079,2.2173
3.1091,4.7841,2.7537,4.2439,2.5502,2.3993,2.1789,2.2613,2.2339
3.1149,4.8059,2.6849,4.2047,2.4864,2.3359,2.1696,2.2787,2.3112
3.0858,4.8239,2.6964,4.2641,2.4815,2.3064,2.1497,2.3229,2.2413
3.1139,4.8757,2.6953,4.2661,2.5699,2.378,2.0767,2.3107,2.2763
3.4748,4.9185,2.7277,4.369,2.4343,2.387,2.2213,2.3728,2.2652
3.6209,4.8976,2.68,4.3861,2.5341,2.3076,2.1872,2.3473,2.2767
3.5821,5.0604,2.6686,4.3833,2.5287,2.3477,2.1564,2.305,2.2303
3.6398,5.1271,2.6981,4.3766,2.557,2.357,2.1786,2.3684,2.2516
